entity,cusip,cik,date,tickercusip,nameOfIssuer,shares,value
"0001767045    Lindbrook Capital, LLC
Name: entity, dtype: object",126117100,1767045,6/30/2020,CNA,CNA FINL CORP COM,111,4000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",20600T108,1583751,3/31/2020,CNAT,CONATUS PHARMACEUTICALS INC,10,0
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",15135B101,1748766,6/30/2020,CNC,CENTENE CORP DEL,600,38000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",206787103,1558481,6/30/2020,CNDT,CONDUENT INC,38259,91000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",136375102,1748766,6/30/2020,CNI,CANADIAN NATL RY CO,404,36000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",15189T107,1537014,6/30/2020,CNP,CENTERPOINT ENERGY INC,115139,2150000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",14040H105,1537014,6/30/2020,COF,CAPITAL ONE FINL CORP,24,2000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",127097103,1558481,6/30/2020,COG,CABOT OIL & GAS CORP,92843,1595000
"0001699622    ACCESS FINANCIAL SERVICES, INC.
Name: entity, dtype: object",23283R100,1699622,6/30/2020,CONE,CYRUSONE INC,7089,516000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",62482R107,1558481,6/30/2020,COOP,MR COOPER GROUP INC,16447,205000
"0001699622    ACCESS FINANCIAL SERVICES, INC.
Name: entity, dtype: object",21870Q105,1699622,6/30/2020,COR,CORESITE RLTY CORP,9351,1132000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",21870U502,1583751,12/31/2019,CORR,CORENERGY INFRASTRUCTURE TR,27,1000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",222070203,1558481,6/30/2020,COTY,COTY INC CL A,68674,307000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",22266L106,1558481,6/30/2020,COUP,COUPA SOFTWARE INC,15523,4300000
"0001269950    DELTEC ASSET MANAGEMENT LLC
Name: entity, dtype: object",P31076105,1269950,6/30/2020,CPA,COPA HOLDINGS SA,35275,1784000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",134429109,1537014,6/30/2020,CPB,CAMPBELL SOUP CO,254218,12617000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",154760409,1583751,6/30/2020,CPF,CENTRAL PAC FINL CORP,193,3000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",G1890L107,1558481,6/30/2020,CPRI,CAPRI HOLDINGS LTD,32027,501000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",217204106,1537014,6/30/2020,CPRT,COPART INC,28049,2336000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",205306103,1583751,6/30/2020,CPSI,COMPUTER PROGRAMS & SYS INC,72,2000
"0001391974    GSI Capital Advisors LLC
Name: entity, dtype: object",133131102,1391974,6/30/2020,CPT,CAMDEN PPTY TR,55200,5035000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",21833P103,1558481,6/30/2020,CRBP,CORBUS PHARMACEUTICALS HOLDI,14725,124000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",79466L302,1748766,6/30/2020,CRM,SALESFORCE COM INC,192,36000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",21900C308,1583751,6/30/2020,CRMD,CORMEDIX INC,1405,9000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",22717L101,1722641,6/30/2020,CRON,CRONOS GROUP INC COM,385,2000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",228903100,1537014,6/30/2020,CRY,CRYOLIFE INC,41403,794000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",15201P109,1558481,3/31/2020,CSFL,CENTERSTATE BANK CORP,26431,455000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",14843C105,1583751,6/30/2020,CSTL,CASTLE BIOSCIENCES INC,21,1000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",140475104,1583751,6/30/2020,CSU,CAPITAL SR LIVING CORP,15,0
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",126402106,1558481,6/30/2020,CSWI,CSW INDUSTRIALS INC,3414,236000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",172908105,1537014,6/30/2020,CTAS,CINTAS CORP,7006,1866000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",17306X102,1583751,3/31/2020,CTRN,CITI TRENDS INC,71,1000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",192446102,1537014,6/30/2020,CTSH,COGNIZANT TECHNOLOGY SOLUTIO,122347,6952000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",137800207,1722641,6/30/2020,CTST,CANNTRUST HLDGS INC COM,100,0
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",177376100,1537014,6/30/2020,CTXS,CITRIX SYS INC,10,1000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",232109108,1583751,6/30/2020,CUTR,CUTERA INC,29,0
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",2.23E+106,1558481,6/30/2020,CVA,COVANTA HOLDING CORP,26698,256000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",155685100,1722641,6/30/2020,CVCY,CENTRAL VALLEY CMNTY BANCORP COM,1957,30000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",146869102,1558481,6/30/2020,CVNA,CARVANA CO,14419,1733000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",231561101,1748766,6/30/2020,CW,CURTISS WRIGHT CORP,252,22000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",G23773107,1583751,6/30/2020,CWCO,CONSOLIDATED WATER CO INC,997,14000
"0001799859    Birch Capital Management, LLC
Name: entity, dtype: object",18539C105,1799859,6/30/2020,CWENA,CLEARWAY ENERGY INC CL A,188,4000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",20605P101,1537014,6/30/2020,CXO,CONCHO RES INC,14557,750000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",198287203,1558481,6/30/2020,CXP,COLUMBIA PROPERTY TRUST INC,26009,342000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",232806109,1537014,3/31/2020,CY,CYPRESS SEMICONDUCTOR CORP,478236,10907000
"0001269950    DELTEC ASSET MANAGEMENT LLC
Name: entity, dtype: object",247361702,1269950,6/30/2020,DAL,DELTA AIR LINES INC DEL,20650,579000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",46138B103,1748766,6/30/2020,DBC,INVESCO DB COMMDY INDX TRCK,27,0
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",253651103,1558481,6/30/2020,DBD,DIEBOLD NIXDORF INC,15750,95000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",250565108,1558481,6/30/2020,DBI,DESIGNER BRANDS INC CLASS A,13726,93000
"0001767045    Lindbrook Capital, LLC
Name: entity, dtype: object",23306J101,1767045,6/30/2020,DBVT,DBV TECHNOLOGIES S A SPONSORED ADR,432,2000
"0001633862    Lincoln Capital LLC
Name: entity, dtype: object",244199105,1633862,6/30/2020,DE,DEERE & CO,3413,536000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",27616P103,1558481,6/30/2020,DEA,EASTERLY GOVERNMENT PROPERTI,16939,392000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",24703L202,1537014,6/30/2020,DELL,DELL TECHNOLOGIES INC,89339,4909000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",25243Q205,1748766,6/30/2020,DEO,DIAGEO P L C,172,23000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",24983L104,1537014,12/31/2019,DERM,DERMIRA INC,570000,9000
"0001730890    Harborview Advisors, LLC
Name: entity, dtype: object",97717W604,1730890,6/30/2020,DES,WISDOMTREE TR,24779,525000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",254709108,1537014,6/30/2020,DFS,DISCOVER FINL SVCS,123197,6171000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",256677105,1537014,6/30/2020,DG,DOLLAR GEN CORP NEW,152442,29043000
"0001625986    Gibraltar Capital Management, Inc.
Name: entity, dtype: object",46434V621,1625986,6/30/2020,DGRO,ISHARES TR,120085,4515000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",97717W281,1583751,6/30/2020,DGS,WISDOMTREE TR,10,0
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",23331A109,1537014,6/30/2020,DHI,D R HORTON INC,107225,5946000
"0001633862    Lincoln Capital LLC
Name: entity, dtype: object",235851102,1633862,6/30/2020,DHR,DANAHER CORPORATION,85532,15125000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",97717W208,1722641,6/30/2020,DHS,WISDOMTREE U.S. HIGH DIVIDEND FUND,1305,81000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",23331S100,1583751,12/31/2019,DHX,DHI GROUP INC,202,1000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",78467X109,1748766,6/30/2020,DIA,SPDR DOW JONES INDL AVERAGE,164,42000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",25470F104,1558481,6/30/2020,DISCA,DISCOVERY INC   A,36837,777000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",25470F302,1537014,6/30/2020,DISCK,DISCOVERY INC,45954,885000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",25470M109,1537014,6/30/2020,DISH,DISH NETWORK CORPORATION,14135,488000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",24665A103,1558481,6/30/2020,DK,DELEK US HOLDINGS INC,16583,289000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",247368103,1583751,12/31/2019,DLA,DELTA APPAREL INC,37,1000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",25659T107,1558481,6/30/2020,DLB,DOLBY LABORATORIES INC CL A,14613,963000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",253868103,1537014,6/30/2020,DLR,DIGITAL RLTY TR INC,13087,1860000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",97717W760,1722641,6/30/2020,DLS,WISDOMTREE INTL SMALLCAP DIVIDEND,259,14000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",23325P104,1645382,6/30/2020,DNP,DNP SELECT INCOME FD,47922,521000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",71943U104,1558481,6/30/2020,DOC,PHYSICIANS REALTY TRUST,44473,779000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",256163106,1537014,6/30/2020,DOCU,DOCUSIGN INC,12109,2085000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",258278100,1558481,6/30/2020,DORM,DORMAN PRODUCTS INC,6246,419000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",264411505,1537014,6/30/2020,DRE,DUKE REALTY CORP,7517,266000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",237194105,1537014,6/30/2020,DRI,DARDEN RESTAURANTS INC,59854,4535000
"0001730890    Harborview Advisors, LLC
Name: entity, dtype: object",78464A201,1730890,6/30/2020,DSG,SPDR SER TR,45291,2572000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",23332B106,1583751,6/30/2020,DSPG,DSP GROUP INC,49,1000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",Y20676105,1583751,3/31/2020,DSSI,DIAMOND S SHIPPING INC,33,0
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",74019P108,1583751,6/30/2020,DTIL,PRECISION BIOSCIENCES INC,1200,10000
"0001759803    Graves-Light Private Wealth Management, Inc.
Name: entity, dtype: object",97717W406,1759803,6/30/2020,DTN,WISDOMTREE TR,4263,314000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",23918K108,1537014,6/30/2020,DVA,DAVITA INC,41698,3300000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",464287168,1748766,6/30/2020,DVY,ISHARES TR,684,55000
"0001730890    Harborview Advisors, LLC
Name: entity, dtype: object",78463X772,1730890,6/30/2020,DWX,SPDR INDEX SHS FDS,46614,1544000
"0001768130    HOWARD FINANCIAL SERVICES, LTD.
Name: entity, dtype: object",26817Q886,1768130,6/30/2020,DX,DYNEX CAP INC,12360,177000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",23355L106,1558481,6/30/2020,DXC,DXC TECHNOLOGY CO,57267,945000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",252131107,1537014,6/30/2020,DXCM,DEXCOM INC,15471,6272000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",278642103,1748766,6/30/2020,EBAY,EBAY INC.,510,27000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",28106W103,1558481,6/30/2020,EDIT,EDITAS MEDICINE INC,12386,366000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",298736109,1558481,6/30/2020,EEFT,EURONET WORLDWIDE INC,11782,1129000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",464287234,1748766,6/30/2020,EEM,ISHARES TR,34590,1383000
"0001634228    AdvicePeriod, LLC
Name: entity, dtype: object",464287465,1634228,6/30/2020,EFA,ISHARES TR,110479,6725000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",46429B689,1748766,6/30/2020,EFAV,ISHARES TR,892,59000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",28852N109,1722641,6/30/2020,EFC,ELLINGTON FINANCIAL INC COM,744,9000
"0001634228    AdvicePeriod, LLC
Name: entity, dtype: object",464288877,1634228,6/30/2020,EFV,ISHARES TR,5647,226000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",294429105,1537014,6/30/2020,EFX,EQUIFAX INC,7348,1263000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",282914100,1558481,6/30/2020,EGHT,8X8 INC,21969,352000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",62914B100,1558481,6/30/2020,EGOV,NIC INC,15117,347000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",281020107,1537014,6/30/2020,EIX,EDISON INTL,31708,1722000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",28414H103,1537014,6/30/2020,ELAN,ELANCO ANIMAL HEALTH INC,26909,577000
"0001730210    TRH Financial, LLC
Name: entity, dtype: object",78464A409,1730210,6/30/2020,ELG,SPDR SER TR,44797,2088000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",29472R108,1537014,6/30/2020,ELS,EQUITY LIFESTYLE PPTYS INC,11175,698000
"0001730210    TRH Financial, LLC
Name: entity, dtype: object",78464A508,1730210,6/30/2020,ELV,SPDR SER TR,58498,1701000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",29084Q100,1645382,6/30/2020,EME,EMCOR GROUP INC,3493,231000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",92189H300,1722641,6/30/2020,EMLC,MARKET VECTORS ETF EMERGING MKTS LOCAL ETF,836,26000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",291011104,1748766,6/30/2020,EMR,EMERSON ELEC CO,326,20000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",26873J107,1583751,6/30/2020,EMX,EMX RTY CORP,106300,230000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",29336T100,1558481,6/30/2020,ENLC,ENLINK MIDSTREAM LLC,60635,148000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",2.94E+108,1583751,3/31/2020,ENOB,ENOCHIAN BIOSCIENCES INC,997,3000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",29355A107,1537014,6/30/2020,ENPH,ENPHASE ENERGY INC,152614,7260000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",29272W109,1558481,6/30/2020,ENR,ENERGIZER HOLDINGS INC,14104,670000
"0001759803    Graves-Light Private Wealth Management, Inc.
Name: entity, dtype: object",26875P101,1759803,6/30/2020,EOG,EOG RES INC,56141,2844000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",28035Q102,1558481,6/30/2020,EPC,EDGEWELL PERSONAL CARE CO,11644,363000
"0000710127    SEARLE &amp; CO.
Name: entity, dtype: object",293792107,710127,6/30/2020,EPD,ENTERPRISE PRODS PARTNERS L,28140,511000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",30049A107,1583751,6/30/2020,EPM,EVOLUTION PETROLEUM CORP,330,1000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",29444U700,1537014,6/30/2020,EQIX,EQUINIX INC,4,3000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",29446M102,1537014,6/30/2020,EQNR,EQUINOR ASA,77,1000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",29476L107,1537014,6/30/2020,EQR,EQUITY RESIDENTIAL,39772,2339000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",28470R102,1558481,6/30/2020,ERI,ELDORADO RESORTS INC,19420,778000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",28618M106,1558481,6/30/2020,ESI,ELEMENT SOLUTIONS INC,51280,556000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",297178105,1537014,6/30/2020,ESS,ESSEX PPTY TR INC,5167,1184000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",269246401,1537014,6/30/2020,ETFC,E TRADE FINANCIAL CORP,28,1000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",297602104,1583751,6/30/2020,ETH,ETHAN ALLEN INTERIORS INC,143,2000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",G29183103,1537014,6/30/2020,ETN,EATON CORP PLC,22,2000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",29364G103,1537014,6/30/2020,ETR,ENTERGY CORP NEW,27614,2591000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",29978A104,1558481,6/30/2020,EVBG,EVERBRIDGE INC,7726,1069000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",2.82E+112,1537014,6/30/2020,EW,EDWARDS LIFESCIENCES CORP,93837,6485000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",464286509,1537014,6/30/2020,EWC,ISHARES INC,115591,2992000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",46434G822,1537014,6/30/2020,EWJ,ISHARES INC,620000,404000
"0001767045    Lindbrook Capital, LLC
Name: entity, dtype: object",46434G772,1767045,6/30/2020,EWT,ISHARES MSCI TAIWAN ETF,1744,70000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",30161N101,1748766,6/30/2020,EXC,EXELON CORP,297,11000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",26969P108,1558481,6/30/2020,EXP,EAGLE MATERIALS INC,8929,627000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",30212P303,1537014,6/30/2020,EXPE,EXPEDIA GROUP INC,9894,813000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",25278X109,1537014,6/30/2020,FANG,DIAMONDBACK ENERGY INC,16191,677000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",311900104,1748766,6/30/2020,FAST,FASTENAL CO,218,9000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",31189P102,1558481,6/30/2020,FATE,FATE THERAPEUTICS INC,13649,468000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",337930705,1558481,6/30/2020,FBC,FLAGSTAR BANCORP INC,8308,245000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",34964C106,1537014,6/30/2020,FBHS,FORTUNE BRANDS HOME & SEC IN,4841,309000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",31983A103,1722641,6/30/2020,FCBC,FIRST CMNTY BANKSHARES INC VA COM,7297,164000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",31946M103,1558481,6/30/2020,FCNCA,FIRST CITIZENS BCSHS   CL A,1180,478000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",35671D857,1537014,6/30/2020,FCX,FREEPORT-MCMORAN INC,428258,4955000
"0001598841    Advisors Preferred, LLC
Name: entity, dtype: object",3.37E+306,1598841,6/30/2020,FDN,First Trust Dow Jones Internet Index Fund,156650,27332000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",31428X106,1537014,6/30/2020,FDX,FEDEX CORP,21940,3077000
"0001698750    TFO-TDC, LLC
Name: entity, dtype: object",31816Q101,1698750,6/30/2020,FEYE,FireEye Inc,550,7000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",315616102,1537014,6/30/2020,FFIV,F5 NETWORKS INC,20457,2853000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",316092600,1722641,6/30/2020,FHLC,FIDELITY MSCI HEALTH CARE INDEX ETF,2754,137000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",303250104,1645382,6/30/2020,FIC,FAIR ISAAC CORP,775,324000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",337738108,1748766,6/30/2020,FISV,FISERV INC,95,9000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",316773100,1537014,6/30/2020,FITB,FIFTH THIRD BANCORP,97991,1889000
"0000710127    SEARLE &amp; CO.
Name: entity, dtype: object",26922A289,710127,6/30/2020,FIVG,ETF SER SOLUTIONS,11405,311000
"0000913760    StoneX Group Inc.
Name: entity, dtype: object",33733B100,913760,6/30/2020,FIW,FIRST TR EXCHANGE TRADED FD,5030,280000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",06746Q249,1583751,12/31/2019,FIYY,BARCLAYS BK PLC,123,15000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",68243Q106,1583751,6/30/2020,FLWS,FLWS/1-800 FLOWERS,27,1000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",302491303,1537014,6/30/2020,FMC,F M C CORP,10279,1024000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",808524771,1748766,6/30/2020,FNDX,SCHWAB STRATEGIC TR,42,2000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",351858105,1537014,6/30/2020,FNNVF,FRANCO NEV CORP,4917,685000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",335834107,1583751,12/31/2019,FNWB,FIRST NORTHWEST BANCORP,206,4000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",34417P100,1583751,6/30/2020,FOCS,FOCUS FINL PARTNERS INC,10,0
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",M46135105,1583751,12/31/2019,FOMX,FOAMIX PHARMACEUTICALS LTD,800,3000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",346375108,1558481,6/30/2020,FORM,FORMFACTOR INC,17187,504000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",35137L105,1537014,6/30/2020,FOXA,FOX CORP,9425,253000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",31154R109,1583751,6/30/2020,FPI,FARMLAND PARTNERS INC,289,2000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",33616C100,1537014,6/30/2020,FRC,FIRST REP BK SAN FRANCISCO C,61893,6560000
"0001645382    MISSION WEALTH MANAGEMENT, LP
Name: entity, dtype: object",316092857,1645382,6/30/2020,FREL,FIDELITY COVINGTON TR,80819,1890000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",358039105,1558481,6/30/2020,FRPT,FRESHPET INC,8948,749000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",313747206,1537014,6/30/2020,FRT,FEDERAL REALTY INVT TR,3892,332000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",31188V100,1558481,6/30/2020,FSLY,FASTLY INC   CLASS A,15987,1361000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",350060109,1583751,12/31/2019,FSTR,FOSTER L B CO,105,2000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",30744W107,1722641,6/30/2020,FTCH,FARFETCH LTD ORD SH CL A,1004,17000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",35905A109,1558481,6/30/2020,FTDR,FRONTDOOR INC,19255,854000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",3.50E+113,1537014,6/30/2020,FTNT,FORTINET INC,83983,11529000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",34959J108,1537014,6/30/2020,FTV,FORTIVE CORP,32519,2200000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",464288521,1748766,6/30/2020,FTY,ISHARES TR,419,18000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",531229870,1722641,6/30/2020,FWONA,LIBERTY MEDIA CORP,7,0
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",531229854,1558481,6/30/2020,FWONK,LIBERTY MEDIA CORP LIBERTY C,47373,1502000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",G3922B107,1722641,6/30/2020,G,GENPACT LIMITED,258,9000
"0001759803    Graves-Light Private Wealth Management, Inc.
Name: entity, dtype: object",362397101,1759803,6/30/2020,GAB,GABELLI EQUITY TR INC,41224,207000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",363225202,1583751,6/30/2020,GALT,GALECTIN THERAPEUTICS INC,300,1000
"0001537014    Candriam Luxembourg S.C.A.
Name: entity, dtype: object",37890U108,1537014,6/30/2020,GBT,GLOBAL BLOOD THERAPEUTICS IN,67843,4283000
"0001722641    Valeo Financial Advisors, LLC
Name: entity, dtype: object",393657101,1722641,6/30/2020,GBX,GREENBRIER COMPANIES INC,1032,23000
"0001583751    TCI Wealth Advisors, Inc.
Name: entity, dtype: object",36472T109,1583751,6/30/2020,GCI,GANNETT CO INC,2893,4000
"0001768130    HOWARD FINANCIAL SERVICES, LTD.
Name: entity, dtype: object",92189F106,1768130,6/30/2020,GDX,VANECK VECTORS ETF TR,9510,349000
"0001767045    Lindbrook Capital, LLC
Name: entity, dtype: object",373737105,1767045,6/30/2020,GGB,GERDAU SA SPON ADR REP PFD,1414,4000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",375558103,1748766,6/30/2020,GILD,GILEAD SCIENCES INC,2112,162000
"0001748766    Brand Asset Management Group, Inc.
Name: entity, dtype: object",370334104,1748766,6/30/2020,GIS,GENERAL MLS INC,1360,84000
"0001558481    Arizona State Retirement System
Name: entity, dtype: object",3.80E+106,1558481,6/30/2020,GL,GLOBE LIFE INC,23796,1766000
"0001696260    Good Life Advisors, LLC
Name: entity, dtype: object",376535100,1696260,6/30/2020,GLAD,GLADSTONE CAPITAL CORP,15569,113000
